uri,sourcetable,id_value,id_uri,value,src_table
entities/1LLMNLYo,TakedaUSCAM,63383550,entities/1LLMNLYo/attributes/Identifiers/3PEojnA5a,0001AB001181991,TakedaUSCAM
entities/19DEcv5v,TakedaUSCAM,14209419,entities/19DEcv5v/attributes/Identifiers/2FoHKzlwZ,0001AB001188142,TakedaUSCAM
entities/Y1fhDLW,TakedaUSCAM,57078204,entities/Y1fhDLW/attributes/Identifiers/142WyTZo2,0001AB000151649,TakedaUSCAM
entities/1PcDfXI7,TakedaUSCAM,38320201,entities/1PcDfXI7/attributes/Identifiers/34s0M7Ipb,0001AB000211490,TakedaUSCAM
entities/EtyyEvx,TakedaUSCAM,78758606,entities/EtyyEvx/attributes/Identifiers/iYUmqHkv,0001AB001131200,TakedaUSCAM
entities/dTn1DFf,TakedaUSCAM,78202156,entities/dTn1DFf/attributes/Identifiers/1u9zennWB,0001AB001131014,TakedaUSCAM
entities/1LL7kBDO,TakedaUSCAM,38116203,entities/1LL7kBDO/attributes/Identifiers/3PE6DNMSI,0001AB001171103,TakedaUSCAM
entities/dTDWb6l,TakedaUSCAM,78574401,entities/dTDWb6l/attributes/Identifiers/1u8FJdpDT,0001AB000328090,TakedaUSCAM
entities/dT06ugh,TakedaUSCAM,93720208,entities/dT06ugh/attributes/Identifiers/1u7ZvdbOB,0001AB000006716,TakedaUSCAM
entities/IIc16Ku,TakedaUSCAM,83211200,entities/IIc16Ku/attributes/Identifiers/uQNUfZ8C,0001AB000220923,TakedaUSCAM
entities/P2rUnqr,TakedaUSCAM,33913407,entities/P2rUnqr/attributes/Identifiers/3464218115373843,0001AB000185404,TakedaUSCAM
entities/19smAUcQ,TakedaUSCAM,92020550,entities/19smAUcQ/attributes/Identifiers/2ptoeJiWU,0001AB000355562,TakedaUSCAM
entities/Y1RH2Ys,TakedaUSCAM,28207203,entities/Y1RH2Ys/attributes/Identifiers/141ojiLLe,0001AB000004711,TakedaUSCAM
entities/dTb2Ld1,TakedaUSCAM,95822551,entities/dTb2Ld1/attributes/Identifiers/1u9P0IoBb,0001AB001201898,TakedaUSCAM
entities/P2RRy8v,TakedaUSCAM,71957155,entities/P2RRy8v/attributes/Identifiers/zHd9ek09,0001AB001133247,TakedaUSCAM
entities/1LL7jUao,TakedaUSCAM,55746201,entities/1LL7jUao/attributes/Identifiers/3PE6Br2gE,0001AB000277680,TakedaUSCAM
