uri,sourcetable,value,id_uri,id_value,identypelkp
entities/10FxFUjE,TakedaDCH,0001A0002305542,entities/10FxFUjE/attributes/Identifiers/xZRgopO3,WUSD00321274,ONEKEY_ID
entities/10G0YyWa,TakedaDCH,0001A0002292259,entities/10G0YyWa/attributes/Identifiers/1MWUtDQGv,WUSD00147854,ONEKEY_ID
entities/10GEAYJI,TakedaDCH,0001A0002431620,entities/10GEAYJI/attributes/Identifiers/VbdUhxPQ,WUSR02845321,ONEKEY_ID
entities/10GWlLam,TakedaDCH,0001A0001657871,entities/10GWlLam/attributes/Identifiers/2FqJEz1bB,WUSD00181542,ONEKEY_ID
entities/11HyyCER,TakedaDCH,0001A0002204316,entities/11HyyCER/attributes/Identifiers/qm2LxM8U,WUSD00004054,ONEKEY_ID
entities/11IFsZBv,TakedaDCH,0001A0001968564,entities/11IFsZBv/attributes/Identifiers/3KJ0bfBYz,WUSD00150362,ONEKEY_ID
entities/11Ids9WB,TakedaDCH,0001A0002578613,entities/11Ids9WB/attributes/Identifiers/xzkHmJNX,WUSD00139574,ONEKEY_ID
entities/11IzbZAF,TakedaDCH,0001A0003134868,entities/11IzbZAF/attributes/Identifiers/dZgjLzcu,WUSM03831364,ONEKEY_ID
entities/13JqftyW,TakedaDCH,0001A0000652281,entities/13JqftyW/attributes/Identifiers/2Y66O1TuW,WUSM03144331,ONEKEY_ID
entities/13Js5cZo,TakedaDCH,0001A0000716904,entities/13Js5cZo/attributes/Identifiers/2Y6Ve4vxk,WUSM00973417,ONEKEY_ID
entities/13JsSAaS,TakedaDCH,0001A0000024241,entities/13JsSAaS/attributes/Identifiers/2Y6gtQpFE,WUSM03138975,ONEKEY_ID
entities/13Jx5SQu,TakedaDCH,0001A0000318740,entities/13Jx5SQu/attributes/Identifiers/2Y89J9vuW,WUSM00194963,ONEKEY_ID
entities/13JxMiFg,TakedaDCH,0001A0000967685,entities/13JxMiFg/attributes/Identifiers/2Y8HaaiZo,WUSM00270033,ONEKEY_ID
entities/13KCKEDU,TakedaDCH,0001A0000366158,entities/13KCKEDU/attributes/Identifiers/2YCD8OSqq,WUSM03203668,ONEKEY_ID
entities/13KDtR0O,TakedaDCH,0001A0001234754,entities/13KDtR0O/attributes/Identifiers/2YCLurRFM,WUSM03434254,ONEKEY_ID
entities/13KFaGtw,TakedaDCH,0001A0001508106,entities/13KFaGtw/attributes/Identifiers/2YClYrac0,WUSM03156215,ONEKEY_ID
entities/13KIb3N6,TakedaDCH,0001A0001565973,entities/13KIb3N6/attributes/Identifiers/2YDXIbAPE,WUSR01038359,ONEKEY_ID
entities/13KLCGIG,TakedaDCH,0001A0000955111,entities/13KLCGIG/attributes/Identifiers/2YEQnzpXg,WUSM00917071,ONEKEY_ID
